wikipedia	id_geonames	lat	lon	name_modern	name_historical	country	country_ISO3	region
https://de.wikipedia.org/wiki/And%C4%9Blsk%C3%A1_Hora_ve_Slezsku	3079795	50.0608	17.3891	Andělská Hora ve Slezsku	Engelsberg	Czech Republic	CZE	
https://de.wikipedia.org/wiki/J%C3%ADlov%C3%A9_u_D%C4%9B%C4%8D%C3%ADna	3074181	50.7608	14.1038	Jílové u Děčína	Eulau	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Sokolov	3065617	50.1813	12.6401	Sokolov	Falkenau an der Eger	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Ryb%C3%A1%C5%99e_(Karlsbad)	3066538	50.2345	12.8520	Rybáře (Karlovy Vary)	Fischern-Karlsbad	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Plesn%C3%A1	3068191	50.2207	12.3467	Plesná	Fleißen	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Fl%C3%A1je	3076168	50.6887	13.5842	Fláje (Český Jiřetín)	Fleyh	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Vranov_nad_Dyj%C3%AD	3062526	48.8947	15.8127	Vranov nad Dyjí	Frain	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Franti%C5%A1kovy_L%C3%A1zn%C4%9B	3076136	50.1203	12.3517	Františkovy Lázně	Franzensbad	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Svoboda_nad_%C3%9Apou	3064449	50.6260	15.8165	Svoboda nad Úpou	Freiheit an der Aupa	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Karvin%C3%A1	3073789	49.8540	18.5417	Fryštát (Karviná)	Freistadt [in Mähren]	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Jesen%C3%ADk	3074281	50.2294	17.2046	Jeseník	(Bad) Freiwaldau	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Brunt%C3%A1l	3078545	49.9884	17.4647	Bruntál	Freudenthal	Czech Republic	CZE	
https://de.wikipedia.org/wiki/%C5%BDulov%C3%A1	3061321	50.3093	17.0987	Žulová	Friedeberg	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Fr%C3%BDdek-M%C3%ADstek#Fr%C3%BDdek_(Friedeck)	3076127	49.6833	18.3500	Frýdek-Místek	Friedek	Czech Republic	CZE	
