id_geonames	lat	lon	region	name_modern	name_historical
2780578	48.2389	14.3318	austria		Ebelsberg
2780741	47.4143	9.7420	austria		Dornbirn
2780850	47.3667	15.0667	austria		Donawitz
2781023	46.8153	15.2222	austria		Deutschlandsberg
2781035	47.1985	15.3362	austria		Deutschfeistritz
2781310	48.4685	13.4607	austria		Brunnenthal
2781321	48.1070	16.2847	austria		Brunn am Gebirge
2781371	47.4167	15.2833	austria		Bruck an der Mur
2781373	48.0242	16.7757	austria		Bruck an der Leitha
2781503	47.5031	9.7471	austria		Bregenz
2781520	48.2563	13.0434	austria		Braunau am Inn
2781680	47.1548	9.8226	austria		Bludenz
2781692	48.1275	14.9865	austria		Blindenmarkt
2781735	47.4167	13.2167	austria		Bischofshofen
2781837	47.9457	16.1097	austria		Berndorf
2782043	47.9653	16.2136	austria		Bad Vöslau
2782052	47.7111	13.6189	austria		Bad Ischl
2782054	48.0383	14.2077	austria		Bad Hall
2782055	47.6425	13.6161	austria	Bad Goisern am Hallstättersee	Goisern
2782056	46.8756	15.9086	austria		Bad Gleichenberg
2782058	47.1155	13.1347	austria		Bad Gastein
2782067	48.0054	16.2326	austria		Baden bei Wien
2782070	47.6100	13.7824	austria		Bad Aussee
2782272	48.1472	16.2949	austria	Atzgersdorf (Wien)	Atzgersdorf
2782278	48.2912	15.9061	austria		Atzenbrugg
2782315	48.2181	16.4831	austria	Aspern (Wien)	Aspern
2782319	48.5833	16.5000	austria	Asparn an der Zaya	Asparn/Zaya
2782321	47.5500	16.0833	austria	Aspang-Markt	Aspang
2782371	48.3646	14.0204	austria	Aschach an der Donau	Aschach
2782555	48.1229	14.8721	austria		Amstetten
2782649	48.2515	13.2341	austria	Altheim in Oberösterreich	Altheim
2782724	47.6384	13.7628	austria		Altaussee
2782860	48.6458	13.9711	austria	Aigen-Schlägl	Aigen
2782967	47.5421	15.2390	austria		Aflenz
2782979	47.5754	14.4608	austria		Admont
3322282	48.3017	16.6744	austria		Gänserndorf
3334971	47.0833	15.4000	austria	Algersdorf (Graz)	Neu-Algersdorf bei Graz
7871945	48.1157	16.6140	austria		Fischamend
7873458	46.6791	15.4032	austria		Arnfels
9034679	47.0621	16.0835	austria		Fürstenfeld
3061472	49.0395	16.6188	czech_republic	Židlochovice	Groß Seelowitz
3061567	49.1374	13.2352	czech_republic	Železná Ruda	Eisenstein
3061822	50.3272	13.5458	czech_republic	Žatec	Saaz
3061867	50.7139	14.3962	czech_republic	Žandov	Sandau
3062111	49.8826	16.8722	czech_republic	Zábřeh	Hohenstadt
3062405	50.1800	13.3799	czech_republic	Vroutek	Rudig
3062439	50.6270	15.6094	czech_republic	Vrchlabí	Hohenelbe
3062898	50.3010	13.3120	czech_republic	Vilémov	Willomitz
3062924	50.3723	17.1863	czech_republic	Vidnava	Weidenau
3063091	50.6611	14.3011	czech_republic	Verneřice	Wernstadt
3063225	50.6898	15.7691	czech_republic	Velká Úpa	Groß-Aupa
3063296	50.2841	13.0097	czech_republic	Velichov	Welchau
3063318	50.5390	13.9768	czech_republic	Velemín	Wellemin
3063548	50.6607	14.0323	czech_republic	Ústí nad Labem	Außig
3063556	50.5847	14.3433	czech_republic	Úštěk	Auscha
3063962	50.6524	13.8536	czech_republic	Trnovany (Teplice)	Turn
3063987	50.6429	13.9945	czech_republic	Trmice	Türmitz
3063999	49.9422	12.6166	czech_republic	Tři Sekery	Dreihacken
3064217	50.7845	14.0313	czech_republic	Tisá	Tyssa
3064268	50.5110	14.1506	czech_republic	Terezín	Theresienstadt
3064358	50.7374	15.3059	czech_republic	Tanvald	Tannwald
3064373	49.7953	12.6337	czech_republic	Tachov	Tachau
3064454	49.7559	16.4683	czech_republic	Svitavy	Zwittau
3064673	49.9653	16.9706	czech_republic	Šumperk	Mährisch Schönberg
3064770	50.6323	14.4286	czech_republic	Stvolínky	Drum
3064919	49.7557	12.9970	czech_republic	Stříbro	Mies
3065116	49.6391	13.1647	czech_republic	Stod	Staab
3065327	50.3982	16.1581	czech_republic	Staré Město nad Metují	Altstadt
3065340	50.9504	14.4962	czech_republic	Staré Křečany	Alt-Ehrenberg
3065368	50.5374	15.8481	czech_republic	Staré Buky	Altenbuch
3065389	50.2462	12.8304	czech_republic	Stará Role	Altrohlau
3065431	50.1651	12.8740	czech_republic	Stanovice u Karlových Var	Donawitz
3065617	50.1813	12.6401	czech_republic	Sokolov	Falkenau an der Eger
3065779	50.7401	14.5915	czech_republic	Sloup v Čechách	Bürgstein
3066538	50.2345	12.8520	czech_republic	Rybáře (Karlovy Vary)	Fischern-Karlsbad
3067382	50.4007	13.2780	czech_republic	Prunéřov (Kadaň)	Brunnersdorf
3067688	50.0501	12.7328	czech_republic	Prameny	Sangerberg
3067713	49.0129	13.9975	czech_republic	Prachatice	Prachatitz
3067770	50.3598	13.7029	czech_republic	Postoloprty	Postelberg
3067953	48.9812	16.5245	czech_republic	Pohořelice	Pohrlitz
3068031	50.7667	14.2000	czech_republic	Podmokly (Děčín)	Bodenbach an der Elbe
3068156	50.2503	13.7038	czech_republic	Pnětluky	Netluk
3068191	50.2207	12.3467	czech_republic	Plesná	Fleißen
3068246	49.8682	12.7438	czech_republic	Planá u Mariánských Lázní	Plan
3068293	49.3088	14.1475	czech_republic	Písek	Pisek
3068350	50.7890	13.9761	czech_republic	Petrovice u Chabařovic	Peterswald
3068423	50.3657	12.7837	czech_republic	Pernink	Bärringen
3068799	49.8347	18.2820	czech_republic	Ostrava	Mährisch Ostrau
3068857	50.6212	13.6927	czech_republic	Osek	Ossegg
3068963	50.2575	17.3488	czech_republic	Ondřejovice (Zlaté Hory)	Endersdorf
3069551	50.5947	13.4824	czech_republic	Nová Ves v Horách	Gebirgsneudorf
3069934	50.3224	12.7294	czech_republic	Nejdek	Neudek
3069969	49.9748	13.1646	czech_republic	Nečtiny	Netschetin
3070122	50.4167	16.1629	czech_republic	Náchod	Nachod
3070291	50.5030	13.6362	czech_republic	Most	Brüx
3070409	49.7770	16.9195	czech_republic	Mohelnice	Müglitz
3070622	50.6587	14.7247	czech_republic	Mimoň	Niemes
3070820	49.9710	12.8643	czech_republic	Teplá	Tepl
3070862	50.3505	14.4741	czech_republic	Mělník	Melnik
3070906	50.2667	13.5374	czech_republic	Měcholupy u Žatce	Michelob
3070930	50.2623	13.2805	czech_republic	Mašťov	Maschau
3071024	49.9646	12.7019	czech_republic	Mariánské Lázně	Marienbad
3071392	50.1559	13.1506	czech_republic	Luka (Verušičky)	Luck
3071467	50.1321	13.3132	czech_republic	Lubenec	Lubenz
3071480	50.5150	14.0510	czech_republic	Lovosice	Lobositz
3071627	50.1860	12.7541	czech_republic	Loket	Elbogen
3071665	50.6042	13.6181	czech_republic	Horní Litvínov	Oberleutensdorf
3071773	51.0110	14.3602	czech_republic	Lipová u Šluknova	Hainspach
